"test_unit",,
"0x00","command_code","0x00"
"0x01",,
"0x02",,
"0x03",,
"0x04",,
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"req_stat",,
"0x00","command_code","0x10"
"0x01",,
"0x02","starting_address",
"0x03",,
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"req_mode",,
"0x00","command_code","0x11"
"0x01",,
"0x02","starting_address",
"0x03",,
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"set_mode",,
"0x00","command_code","0x12"
"0x01",,
"0x02","starting_address",
"0x03",,
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"req_error",,
"0x00","command_code","0x13"
"0x01",,
"0x02",,
"0x03",,
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"get_toc",,
"0x00","command_code","0x14"
"0x01","select",
"0x02",,
"0x03","allocation_length",
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"req_ses",,
"0x00","command_code","0x15"
"0x01",,
"0x02","session_number",
"0x03",,
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"cd_open",,
"0x00","command_code","0x16"
"0x01",,
"0x02",,
"0x03",,
"0x04",,
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"cd_play",,
"0x00","command_code","0x20"
"0x01","parameter_type",
"0x02","starting_point",
"0x03","starting_point",
"0x04","starting_point",
"0x05",,
"0x06","repeat_times",
"0x07",,
"0x08","end_point",
"0x09","end_point",
"0x0a","end_point",
"0x0b",,
,,
"cd_seek",,
"0x00","command_code","0x21"
"0x01","parameter_type",
"0x02","seek_point",
"0x03","seek_point",
"0x04","seek_point",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"cd_scan",,
"0x00","command_code","0x22"
"0x01",,
"0x02","direction",
"0x03","speed",
"0x04",,
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
,,
"cd_read",,
"0x00","command_code","0x30"
"0x01","data",
"0x02","starting_address",
"0x03","starting_address",
"0x04","starting_address",
"0x05",,
"0x06",,
"0x07",,
"0x08","transfer_length",
"0x09","transfer_length",
"0x0a","transfer_length",
"0x0b",,
,,
"cd_read2",,
"0x00","command_code","0x31"
"0x01","data",
"0x02","starting_address",
"0x03","starting_address",
"0x04","starting_address",
"0x05",,
"0x06","transfer_length",
"0x07","transfer_length",
"0x08","next_address",
"0x09","next_address",
"0x0a","next_address",
"0x0b",,
,,
"cd_scd",,
"0x00","command_code","0x40"
"0x01","data_format",
"0x02",,
"0x03","allocation_length",
"0x04","allocation_length",
"0x05",,
"0x06",,
"0x07",,
"0x08",,
"0x09",,
"0x0a",,
"0x0b",,
